alg,dataset,n_samples,% incomplete samples,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
MOFA,nutrimouse_genotype,40,0,0.2374873179942369,0,0.925,0.8597269536210952,0.9189189189189187,1.0,0.85,0.6782753531767348,0.7153659017686896,0.690029896114635,0.0887399375687495,4.58578643244484,2.746524852979694,0.3303747026996125,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 23, 0: 17}","{1: 0.5, 0: 0.5}","{1: 0.575, 0: 0.425}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2159705830272287,1,0.8,0.6030226891555273,0.8095238095238095,0.7727272727272727,0.85,0.2694894532262008,0.3433307024467245,0.284269239872592,0.0957336926637095,4.469162664064793,2.858297492545117,0.3555934203370912,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.215720409003552,2,0.65,0.3273268353539886,0.5625000000000001,0.75,0.45,0.0662106328534979,0.0699685534591195,0.0907572289109178,0.0801186292107081,4.163918403682757,2.638287143675003,0.3302318037971527,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 28, 1: 12}","{1: 0.5, 0: 0.5}","{0: 0.7, 1: 0.3}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2134801890351809,3,0.525,0.0598684340089249,0.3448275862068966,0.5555555555555556,0.25,-0.0192793861376723,-0.0156647738398276,0.003366801200017,0.1104303340124271,4.220757893298079,2.446097091281048,0.3302318037971527,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 31, 1: 9}","{1: 0.5, 0: 0.5}","{0: 0.775, 1: 0.225}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2134919610107317,4,0.55,0.140028008402801,0.6666666666666667,0.5294117647058824,0.9,-0.007379945151716,-0.0031176929072486,0.0235774191487155,0.1594330718026631,4.589197146375297,1.987800269287413,0.5070523710012387,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 34, 0: 6}","{1: 0.5, 0: 0.5}","{1: 0.85, 0: 0.15}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2142984080128371,5,0.65,0.3015113445777636,0.631578947368421,0.6666666666666666,0.6,0.0489963849927743,0.0662983425414364,0.0671388217911841,0.0847819347321782,4.476347912565036,2.819212627931829,0.3303747026996125,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2159653219860047,6,0.9,0.8,0.9,0.9,0.9,0.5220465135652653,0.6305263157894737,0.5310044064107189,0.0890246369215928,4.401070027904469,2.8754537715485617,0.3555934203370912,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 20, 1: 20}","{1: 0.5, 0: 0.5}","{0: 0.5, 1: 0.5}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2130370840313844,7,0.55,0.140028008402801,0.6666666666666667,0.5294117647058824,0.9,-0.007379945151716,-0.0031176929072486,0.0235774191487155,0.1594330718026631,4.589197146375297,1.987800269287413,0.5070523710012387,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 34, 0: 6}","{1: 0.5, 0: 0.5}","{1: 0.85, 0: 0.15}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.21378463198198,8,0.675,0.3736323588785367,0.723404255319149,0.6296296296296297,0.85,0.0917952843618068,0.1023017902813299,0.1152157945331833,0.1012064743720604,4.333675027819866,2.745646732883971,0.3378415701985174,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 27, 0: 13}","{1: 0.5, 0: 0.5}","{1: 0.675, 0: 0.325}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,0,0.2117446379852481,9,0.625,0.2581988897471611,0.5714285714285715,0.6666666666666666,0.5,0.0312806177506535,0.0394088669950738,0.0511244785347772,0.0777329699119618,4.499874827549306,2.6993159476339,0.2766674957410109,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 25, 1: 15}","{1: 0.5, 0: 0.5}","{0: 0.625, 1: 0.375}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1591413259739056,0,0.675,0.3919247576690979,0.5806451612903226,0.8181818181818182,0.45,0.1089526296229653,0.1041816635036974,0.1386640823889888,0.1014692870141109,4.5371754506830415,2.497922572043908,0.3710825706368024,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 29, 0: 11}","{1: 0.5, 0: 0.5}","{1: 0.725, 0: 0.275}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.2303332060109824,1,0.575,0.1501878522965276,0.5641025641025641,0.5789473684210527,0.55,-0.0024598818304892,-0.0031576869942766,0.0163628754280512,0.0813808708557268,4.940920382450237,2.727715961635629,0.2698559212325404,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 21, 1: 19}","{1: 0.5, 0: 0.5}","{0: 0.525, 1: 0.475}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1864703000173904,2,0.525,0.0516397779494322,0.4571428571428572,0.5333333333333333,0.4,-0.017624006378012,-0.0220689655172413,0.0020165647954566,0.0942141731475415,4.375420921374761,2.8262134971575983,0.282332885145712,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 25, 0: 15}","{1: 0.5, 0: 0.5}","{1: 0.625, 0: 0.375}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.2855284250108525,3,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.2899869926514645,5.029112468161826,0.8826455479295517,0.5534053522145569,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 38, 1: 2}","{1: 0.5, 0: 0.5}","{0: 0.95, 1: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1774308800231665,4,0.875,0.7509392614826383,0.8780487804878048,0.8571428571428571,0.9,0.4488515953480206,0.5510163805012828,0.4596071167213196,0.0907808857901996,4.517079983245048,2.8255409534933564,0.2977947852740848,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 21, 1: 19}","{1: 0.5, 0: 0.5}","{0: 0.525, 1: 0.475}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.218117075972259,5,0.575,0.1973855084879306,0.679245283018868,0.5454545454545454,0.9,0.0112116561382864,0.0078079250439195,0.0431663564882723,0.2104519683936188,7.891135123991523,1.5989205154978914,0.4828779017333271,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 33, 1: 7}","{1: 0.5, 0: 0.5}","{0: 0.825, 1: 0.175}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1660510359797626,6,0.625,0.2581988897471611,0.5714285714285715,0.6666666666666666,0.5,0.0312806177506535,0.0394088669950738,0.0511244785347772,0.0995556307298675,4.7365707528089205,2.6883572954186867,0.3635793475851709,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 25, 0: 15}","{1: 0.5, 0: 0.5}","{1: 0.625, 0: 0.375}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1546949159819632,7,0.75,0.5103103630798288,0.7727272727272727,0.7083333333333334,0.85,0.1864186883290798,0.2310725552050473,0.2049500927701565,0.0931405886494818,4.294635066854313,2.878371340044432,0.3628816185336863,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 24, 0: 16}","{1: 0.5, 0: 0.5}","{1: 0.6, 0: 0.4}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1489449709770269,8,0.525,0.0500626174321758,0.5128205128205129,0.5263157894736842,0.5,-0.0172756699162557,-0.0236826524570751,0.0018119209735073,0.1049244854314012,5.365458113576801,2.6001268108066675,0.3834303131914386,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 21, 0: 19}","{1: 0.5, 0: 0.5}","{1: 0.525, 0: 0.475}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,10,0.1487783319898881,9,0.55,0.1048284836721918,0.608695652173913,0.5384615384615384,0.7,-0.0115004117673357,-0.0136518771331058,0.0085082756947678,0.0985173557459534,4.723508728128204,2.658810972660949,0.3159771641733168,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 26, 1: 14}","{1: 0.5, 0: 0.5}","{0: 0.65, 1: 0.35}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1478158929967321,0,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.2790637647456737,4.725174603090273,0.9353567349799236,0.574704823402347,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 38, 1: 2}","{1: 0.5, 0: 0.5}","{0: 0.95, 1: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1694211059948429,1,0.625,0.2668802563418119,0.6808510638297872,0.5925925925925926,0.8,0.0357773146189251,0.0409207161125319,0.0575824646248294,0.1270162158895799,5.646990486595992,2.38762660695406,0.4234030270247021,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 27, 0: 13}","{1: 0.5, 0: 0.5}","{1: 0.675, 0: 0.325}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1488208179944194,2,0.5,0.0,0.5,0.5,0.5,-0.0191001641974879,-0.0263157894736842,0.0,0.0893105017030079,4.742070654722006,2.7657330430449574,0.4514252489568984,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 20, 0: 20}","{1: 0.5, 0: 0.5}","{1: 0.5, 0: 0.5}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.214476894994732,3,0.625,0.2503130871608794,0.6341463414634146,0.6190476190476191,0.65,0.0274815763436326,0.0378922439313203,0.0457691271692483,0.1006537473274104,5.683205937407388,2.5066796669538154,0.2778707640199747,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 21, 0: 19}","{1: 0.5, 0: 0.5}","{1: 0.525, 0: 0.475}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.2329905439983122,4,0.6,0.2309401076758503,0.4666666666666667,0.7,0.35,0.0227724936387391,0.0211764705882352,0.048471594669712,0.1013491446937804,4.280630774224306,2.489544749842852,0.3271082334435772,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 30, 1: 10}","{1: 0.5, 0: 0.5}","{0: 0.75, 1: 0.25}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1936388770118355,5,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.2719241787761722,4.6678895631766215,0.935632085196396,0.5635966642759963,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 38, 0: 2}","{1: 0.5, 0: 0.5}","{1: 0.95, 0: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.2411936739808879,6,0.575,0.1796053020267749,0.6666666666666665,0.5483870967741935,0.85,0.0050323317342246,0.0046994321519483,0.0307169101794461,0.1246995015050139,5.391644592930633,2.11825311757182,0.3263672141516183,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 31, 0: 9}","{1: 0.5, 0: 0.5}","{1: 0.775, 0: 0.225}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1431867469800636,7,0.525,0.0755928946018454,0.6545454545454545,0.5142857142857142,0.9,-0.0222223355471797,-0.0088168557536466,0.0076283393783967,0.205987861690143,5.37946776645726,1.7084211965389964,0.477094579123871,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 35, 1: 5}","{1: 0.5, 0: 0.5}","{0: 0.875, 1: 0.125}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1608717569615692,8,0.525,0.0559892510955854,0.6122448979591838,0.5172413793103449,0.75,-0.0185269345131419,-0.0183234081539166,0.0026676934882496,0.127532759578617,5.610304989593124,2.271091446116218,0.3289368364148378,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 29, 1: 11}","{1: 0.5, 0: 0.5}","{0: 0.725, 1: 0.275}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,20,0.1646493169828318,9,0.95,0.9045340337332908,0.9473684210526316,1.0,0.9,0.7564420257873864,0.8050513022888713,0.7637954966984672,0.1029184275560115,5.29775639390767,2.5706718966205884,0.330829759860297,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 22, 1: 18}","{1: 0.5, 0: 0.5}","{0: 0.55, 1: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.2167932859738357,0,0.6,0.280056016805602,0.3846153846153846,0.8333333333333334,0.25,0.0520329722635279,0.0272798129384255,0.1000307186276001,0.1408721835589911,4.262405144868672,2.046790962988541,0.293876157587065,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 34, 0: 6}","{1: 0.5, 0: 0.5}","{1: 0.85, 0: 0.15}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.1781455319724045,1,0.55,0.140028008402801,0.6666666666666667,0.5294117647058824,0.9,-0.007379945151716,-0.0031176929072486,0.0235774191487155,0.0905463932365851,3.630338112656263,2.072349663859291,0.3517960323829881,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 34, 1: 6}","{1: 0.5, 0: 0.5}","{0: 0.85, 1: 0.15}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.1763948560110293,2,0.725,0.450563556889583,0.717948717948718,0.7368421052631579,0.7,0.1358352097728528,0.1815670021709098,0.1521859290218348,0.0664578539986699,3.693078520243867,3.093929261317641,0.2612172082537843,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 21, 0: 19}","{1: 0.5, 0: 0.5}","{1: 0.525, 0: 0.475}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.2227776119834743,3,0.85,0.7035264706814485,0.8571428571428572,0.8181818181818182,0.9,0.3872199780952524,0.4767166535122336,0.4002043043649526,0.0775018203467766,3.850201510311193,3.0252578424424583,0.3171304247575556,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 22, 1: 18}","{1: 0.5, 0: 0.5}","{0: 0.55, 1: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.2365420889691449,4,0.725,0.4551495636817563,0.7441860465116279,0.6956521739130435,0.8,0.1407303989122487,0.1819975014793872,0.1582889901489053,0.0707644458824672,3.814212754374936,3.005665199179351,0.3177623646376982,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 23, 0: 17}","{1: 0.5, 0: 0.5}","{1: 0.575, 0: 0.425}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.1859465769957751,5,0.575,0.1517165212272521,0.6046511627906976,0.5652173913043478,0.65,-0.0021509415231555,-0.002630021697679,0.0169503861754456,0.0899300180288888,4.956882018412652,2.697699827411325,0.3274272231791432,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 23, 0: 17}","{1: 0.5, 0: 0.5}","{1: 0.575, 0: 0.425}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.1408213200047612,6,0.55,0.1020620726159657,0.5909090909090908,0.5416666666666666,0.65,-0.0116464309346966,-0.0149842271293375,0.0077546064815459,0.0881236610972943,5.009712322204704,2.605399605413578,0.3270450074799589,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 24, 1: 16}","{1: 0.5, 0: 0.5}","{0: 0.6, 1: 0.4}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.179266715014819,7,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.3573443605295234,6.382487020623782,0.9164484130556636,0.6101147038969097,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 38, 1: 2}","{1: 0.5, 0: 0.5}","{0: 0.95, 1: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.2467642650008201,8,0.7,0.4364357804719848,0.75,0.6428571428571429,0.9,0.1386967922386788,0.1415094339622641,0.1665660028535331,0.0925730301478267,4.658971283909836,2.486861669298081,0.1896001687517831,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 28, 0: 12}","{1: 0.5, 0: 0.5}","{1: 0.7, 0: 0.3}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.3446401399560272,9,0.75,0.502518907629606,0.7368421052631577,0.7777777777777778,0.7,0.1763561565029824,0.2304656669297553,0.1925562811985171,0.0834356726594394,4.51550661363746,2.768965591020588,0.3245828446838064,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1898359740152955,0,0.55,0.125,0.3571428571428571,0.625,0.25,-0.0096200150392481,-0.0065172054223149,0.0157479399681345,0.1666709498710389,5.972883668833149,1.930913009202864,0.4059502843715263,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 32, 1: 8}","{1: 0.5, 0: 0.5}","{0: 0.8, 1: 0.2}",40,100,,,,,,,,,,,,,,,,,
